user_id,employee_name,login_count,usb_events,email_count,attachment_count,file_access_count,website_count,O,C,E,A,N,after_hours_login
AAE0190,August Armando Evans,7,0.0,16.0,4.0,0.0,0.0,36.0,30.0,14.0,50.0,29.0,3.0
AAF0535,Athena Amelia Foreman,8,24.0,3.0,4.0,12.0,0.0,17.0,21.0,36.0,33.0,31.0,0.0
AAF0791,Aladdin Abraham Foley,7,0.0,9.0,0.0,0.0,0.0,14.0,40.0,40.0,50.0,34.0,0.0
AAL0706,April Alika Levy,8,0.0,1.0,0.0,0.0,0.0,37.0,14.0,28.0,13.0,25.0,4.0
AAM0658,Abel Adam Morton,7,0.0,3.0,3.0,0.0,0.0,43.0,35.0,37.0,36.0,22.0,3.0
AAN0823,Anthony Aidan Nixon,7,0.0,1.0,0.0,0.0,0.0,24.0,16.0,45.0,24.0,28.0,3.0
AAS0442,Amal Alexander Shelton,12,0.0,3.0,3.0,0.0,0.0,36.0,43.0,22.0,22.0,31.0,1.0
AAV0450,Aspen Amber Vinson,7,0.0,1.0,0.0,0.0,0.0,44.0,24.0,36.0,41.0,33.0,5.0
AAW0353,Armando Albert Walter,7,0.0,4.0,0.0,0.0,0.0,49.0,45.0,19.0,25.0,34.0,4.0
ABC0174,Allegra Bree Coffey,15,38.0,41.0,10.0,20.0,171.0,15.0,41.0,34.0,13.0,32.0,5.0
ABC0253,Alec Boris Chase,12,0.0,16.0,6.0,0.0,5.0,21.0,15.0,41.0,30.0,28.0,4.0
ABH0663,Alan Benjamin Holder,8,0.0,3.0,3.0,0.0,5.0,47.0,49.0,41.0,11.0,34.0,4.0
ABM0845,Ariel Bertha Murphy,10,0.0,1.0,0.0,0.0,0.0,45.0,21.0,35.0,50.0,29.0,3.0
ABN0239,Amaya Britanni Newton,11,0.0,9.0,4.0,0.0,0.0,21.0,37.0,20.0,39.0,25.0,4.0
ACC0042,Alfonso Colin Cooley,30,0.0,11.0,8.0,0.0,9.0,23.0,19.0,37.0,20.0,31.0,23.0
ACV0812,Alden Caesar Velez,15,0.0,9.0,2.0,0.0,0.0,42.0,37.0,12.0,45.0,28.0,9.0
ADC0391,Axel Donovan Compton,10,0.0,12.0,9.0,0.0,0.0,50.0,43.0,40.0,33.0,38.0,4.0
ADD0846,Aretha Dorothy Deleon,7,0.0,1.0,0.0,0.0,0.0,18.0,19.0,25.0,12.0,35.0,3.0
ADF0397,Ariana Doris Frazier,7,0.0,14.0,2.0,0.0,0.0,39.0,16.0,10.0,40.0,35.0,5.0
AES0827,Addison Edward Snyder,7,0.0,1.0,0.0,0.0,0.0,39.0,40.0,34.0,38.0,23.0,3.0
AGB0186,Alfonso Gage Blankenship,7,0.0,3.0,0.0,0.0,0.0,18.0,10.0,41.0,15.0,35.0,7.0
AGB0643,Armand Gabriel Brewer,7,0.0,3.0,0.0,0.0,0.0,32.0,39.0,20.0,44.0,27.0,3.0
AHC0142,Azalia Halee Cantu,13,0.0,18.0,7.0,0.0,102.0,34.0,23.0,40.0,15.0,26.0,5.0
AHD0848,Aladdin Hu Day,11,6.0,1.0,2.0,9.0,0.0,24.0,30.0,49.0,16.0,30.0,3.0
AHG0634,Amir Hayden Gray,13,0.0,3.0,0.0,0.0,0.0,31.0,36.0,42.0,41.0,27.0,3.0
AHM0410,Addison Hiram Morrow,11,20.0,10.0,8.0,41.0,0.0,34.0,43.0,15.0,18.0,26.0,3.0
AIB0948,Ariel Ina Barrett,13,135.0,1.0,0.0,16.0,1.0,42.0,31.0,27.0,20.0,31.0,6.0
AIH0675,Aline Iris Hurst,8,0.0,9.0,2.0,0.0,0.0,25.0,39.0,38.0,40.0,37.0,2.0
AIM0627,Adam Ishmael Mcdaniel,8,0.0,15.0,0.0,0.0,0.0,36.0,39.0,16.0,41.0,23.0,1.0
AIP0394,Anika Isabella Pennington,10,0.0,8.0,8.0,0.0,0.0,17.0,16.0,38.0,14.0,26.0,5.0
AIP0982,Althea Ina Palmer,10,16.0,14.0,6.0,117.0,2.0,43.0,20.0,43.0,41.0,33.0,5.0
